producto,categoria,precio,Rubro,categoria,,569,electro
SWITCH 5P HPE OfficeConnect 1420-5G no admin (L),accesorios,44.086185,001-0430,accesorios,,,
SWITCH HPE 6Gb SAS BL Switch Single Pack,accesorios,1936.376585,001-0430,accesorios,,,
SWITCH LENOVO FLEX FC3052 8GB 2p,accesorios,203.170825,001-0430,accesorios,,,
SWITCH LENOVO FLEX FC3171 8GB,accesorios,396.76351,001-0430,accesorios,,,
SWITCH LENOVO FLEX FC5022 16GB,accesorios,971.1845,001-0430,accesorios,,,
TRANSCEIVER Aruba 10G SFP+ LC LR 10km SMF XCVR,accesorios,5462.7001,001-0430,accesorios,,,
TRANSCEIVER Aruba 10G SFP+ LC SR 300m MMF XCVR,accesorios,1026.307425,001-0430,accesorios,,,
TRANSCEIVER Aruba HPE X120 1G SFP LC LX  (L),accesorios,1150.264115,001-0430,accesorios,,,
TRANSCEIVER CISCO SFP-10G-SR=,accesorios,750.64407,001-0430,accesorios,,,
TRANSCEIVER HPE Aruba 1G SFP LC LX 10km SMF XCVR,accesorios,703.48278,001-0430,accesorios,,,
TRANSCEIVER HPE Aruba 1G SFP LC SX 500m MMF XCVR,accesorios,289.641495,001-0430,accesorios,,,
TRANSCEIVER HPE MSA 2040 8Gb SW FC SFP 4 Pk,accesorios,34.7633,001-0430,accesorios,,,
TRANSCEIVER HPE X130 10G XFP LC SR (L),accesorios,1016.83076,001-0430,accesorios,,,
TRANSCEIVER HPE X130 SFP+ LC LR (L),accesorios,2347.56808,001-0430,accesorios,,,
TRANSCEIVER HPE X130 SFP+ LC SR (L),accesorios,918.79645,001-0430,accesorios,,,
CONTROLADORA RAID LENOVO 520I SAS/SATA TD350 (I),redes,582.29743,001-0432,redes,,,
PLACA RED PCI-E PERFORMANCE 11N 300MBPS 2X2DBI,redes,8.472035,001-0432,redes,,,
PLACA RED PCI-E TENDA  W322E N300,redes,11.826815,001-0432,redes,,,
PLACA RED PCI-E TP-LINK TG-3468 10/100/1000,redes,15.26668,001-0432,redes,,,
PLACA RED PCI-E TP-LINK WN781ND 11N 150MBPS 2DBI,redes,13.07878,001-0432,redes,,,
PLACA RED PCI-E TP-LINK WN781ND 150 **CAJA DA�ADA*,redes,12.42241,001-0432,redes,,,
PLACA RED PCMCIA CISCO WPC200 C/DETECCION INTRUSOS,redes,20.54195,001-0432,redes,,,
PLACA RED USB TENDA  U1 11N 300MBPS,redes,11.608025,001-0432,redes,,,
PLACA RED USB TENDA  U12 AC1300,redes,27.166425,001-0432,redes,,,
PLACA RED USB TENDA  U3 11N 300MBPS MINI,redes,8.569275,001-0432,redes,,,
PLACA RED USB TENDA  W311MI 11N 150MBPS,redes,7.888595,001-0432,redes,,,
PLACA RED USB TP-LINK ARCHER T9UH **CAJA DA�ADA**,redes,71.945445,001-0432,redes,,,
PLACA RED USB TP-LINK ARCHER T9UH AC1900 DUAL BAND,redes,71.945445,001-0432,redes,,,
PLACA RED USB TP-LINK WN725N 11N 150MBPS NANO,redes,13.07878,001-0432,redes,,,
PLACA RED USB TP-LINK WN821N 11N 300MBPS,redes,15.26668,001-0432,redes,,,
TARJETA DE EXPANSI�N DE RED 2.5 GBE DUAL PORT QNAP,redes,173.98667,001-0432,redes,,,
TARJETA DE EXPANSI�N DE RED SFP+10GBASE-T QNAP,redes,244.63153,001-0432,redes,,,
TARJETA DE RED LENOVO (CIOv) BLADE CENTER,redes,108.78725,001-0432,redes,,,
65W AC ADAPTER DELTA ADP-65JH DB,accesorios,61.78502,001-0455,accesorios,,,
AC ADAPTER   - 76G011651-5A -,accesorios,57.91181,001-0455,accesorios,,,
ADAPTADOR DE CORRIENTE BROTHER PARA PJ-723/773,accesorios,61.63861,001-0455,accesorios,,,
ALT. ARMOR P/EPSON K11431 S020193,accesorios,2.74703,001-0455,accesorios,,,
ALT. ARMOR P/EPSON K11801 T020311,accesorios,2.345915,001-0455,accesorios,,,
ALT. ARMOR P/EPSON K11825 T007311-SIN JACA-- VENCI,accesorios,0.41327,001-0455,accesorios,,,
ALT. ARMOR P/EPSON K11827 T009401,accesorios,4.1327,001-0455,accesorios,,,
ALT.P/EPSON S020193,accesorios,2.589015,001-0455,accesorios,,,
ASUS BATERIA SERIE A3N 8CELL,accesorios,294.76326,001-0455,accesorios,,,
ASUS BATERIA SERIE A4L,accesorios,250.85357,001-0455,accesorios,,,
ASUS BATERIA SERIE Z35F,accesorios,273.42733,001-0455,accesorios,,,
ASUS BATERIA SERIE Z9200 8CELL A6R,accesorios,300.77938,001-0455,accesorios,,,
ASUS CABLE 15P GAME PC99,accesorios,19.95851,001-0455,accesorios,,,
ASUS CABLE WEBCAM W5G,accesorios,30.28025,001-0455,accesorios,,,
ASUS DVD DUAL DL 8X P/NB SERIE A3E,accesorios,236.961725,001-0455,accesorios,,,
ASUS MOTHERBOARD P/ NOTEBOOK  Z94L,accesorios,152.01043,001-0455,accesorios,,,
ASUS MOTHERBOARD P/NB A3L,accesorios,369.037955,001-0455,accesorios,,,
ASUS MOTHERBOARD P/NB ASUS M5AE,accesorios,443.26854,001-0455,accesorios,,,
BATERIA CELULAR 1500MAH (CX402E),accesorios,7.20071,001-0455,accesorios,,,
BATERIA CELULAR 1800MAH CX502E,accesorios,7.70649,001-0455,accesorios,,,
BN07-00955A PANTALLA LCS;PARA TELEVISOR,accesorios,35.36467,001-0455,accesorios,,,
"BN96-09624L ASSY COVER P-FRONT;LS23EF(P2370H),PMMA",accesorios,49.85926,001-0455,accesorios,,,
BOTON POWER CONECTAR IGUALDAD 1,accesorios,0.60775,001-0455,accesorios,,,
BRACKET VESA P/ GAB MINI ITX T3310,accesorios,6.36922,001-0455,accesorios,,,
CABEZAL DE ST1500 NEGRO  46040,accesorios,32.86712,001-0455,accesorios,,,
CARRO DE CABEZAL DE FX1180 -1038770-,accesorios,6.69493,001-0455,accesorios,,,
CARRO DE CABEZAL DE FX870 -13Z1008685-,accesorios,27.1524,001-0455,accesorios,,,
CASETE ANTRIEB P/EPSON LQ 800 PACK X2,accesorios,3.1944,001-0455,accesorios,,,
CINTA DE CABEZAL DE FX850  -005020-,accesorios,6.94782,001-0455,accesorios,,,
CINTA DE CABEZAL DE FX870 -13Z2005610-,accesorios,4.33906,001-0455,accesorios,,,
CINTA DE CABEZAL DE LX300 -1082013002-,accesorios,4.08617,001-0455,accesorios,,,
CX502E BACK COVER P/ REPUESTO,accesorios,12.42241,001-0455,accesorios,,,
FELPA ACEIT. LX300/AP2250/3250 -1011120-,accesorios,0.17303,001-0455,accesorios,,,
FILM P/SHARP UXP SERIES X 2 -  FULLMARK,accesorios,12.79091,001-0455,accesorios,,,
FUENTE 200W P/ CX MINI SLIM,accesorios,39.62387,001-0455,accesorios,,,
FUNDA FLIP COVER  P/ CX502E,accesorios,0.99825,001-0455,accesorios,,,
FUNDA PARA CELULAR CX S400,accesorios,0.63888,001-0455,accesorios,,,
FUNDA PARA CELULAR CX S500,accesorios,0.70543,001-0455,accesorios,,,
FUSOR BROTHER LU0215001,accesorios,114.25304,001-0455,accesorios,,,
FUSOR BROTHER LU1177001,accesorios,154.72875,001-0455,accesorios,,,
GRABA DVD P/NB 12.7 MM PERFORMACE IDE BLACK,accesorios,6.600165,001-0455,accesorios,,,
GRABA DVD P/NB PERFORMANCE SATA BLACK,accesorios,6.95266,001-0455,accesorios,,,
HD 250 GB P/NOTEBOOK S-ATA 5400 8MB TOSHIBA,accesorios,16.713125,001-0455,accesorios,,,
HOJA DE CUTER TM-T80/267/300A -146F20150,accesorios,5.39055,001-0455,accesorios,,,
JC61-04450A   STACKER-MAIN; ML-2165,accesorios,1.95657,001-0455,accesorios,,,
KIT FUSOR HP C4197A 110V P/HP 4500/4550,accesorios,313.757015,001-0455,accesorios,,,
KIT FUSOR HP C9726A P/HP CLJ 4600,accesorios,371.152925,001-0455,accesorios,,,
LATIN SP KB    - 71GUL8482-10 -,accesorios,27.57832,001-0455,accesorios,,,
MANOS LIBRES CX502E,accesorios,2.80841,001-0455,accesorios,,,
MOTOR DE CARRO DE FX880,accesorios,4.9247,001-0455,accesorios,,,
PALANCA FRIC/TRAC DE LX810 -10YF35003100,accesorios,0.73205,001-0455,accesorios,,,
PANEL LCD COMPATIBLE NB DELL,accesorios,102.102,001-0455,accesorios,,,
PAPEL PREMIUM A4  X 20 HOJAS 170G,accesorios,2.50228,001-0455,accesorios,,,
POS PROX FUENTE 60W REPUESTO EDAC EA10683P-240,accesorios,55.92862,001-0455,accesorios,,,
PROM PARA MB: 2022706 DEL TMU -30422-,accesorios,22.82665,001-0455,accesorios,,,
SCANNER KODAK KIT CONSUMIBLES I100/I200/I1400 X5,accesorios,21.36849,001-0455,accesorios,,,
UNIDAD DE FUSION 220V EPL5700 -28488-,accesorios,57.67223,001-0455,accesorios,,,
USB INTERFACE BOARD UB-U02II,accesorios,107.851315,001-0455,accesorios,,,
"FILM P/PANASONIC 80,81,85 TTRP55 X2 - FULLMARK",impresion,7.3205,001-0480,impresion,,,
FILM P/SHARP UX200/370/470 X 2 - FULLMARK,impresion,7.90614,001-0480,impresion,,,
ROLLO OBRA 70 X 40 MTS SIMPLE P/ TMU-950  X10,impresion,6.32225,001-0480,impresion,,,
ROLLO PAPEL OBRA ILUST 100 X 60 800 ETIQ P/PC42T,impresion,9.56989,001-0480,impresion,,,
ROLLO TERMICO 100 X 60 800 ETIQ P/PC42T,impresion,13.50965,001-0480,impresion,,,
CAMA PLANA KODAK LEGAL ACCESORIO P/ E1000/S2000,impresion,634.87369,001-0490,impresion,,,
CAMA PLANA KODAK LEGAL ACCESORIO P/i2000/S3000,impresion,208.50115,001-0490,impresion,,,
EPSON Network module P/DS70000/60000/6500/7500,impresion,239.65986,001-0490,impresion,,,
SCANNER BROTHER ADS-1250W 25PPM DUPLEX,impresion,675.89511,001-0490,impresion,,,
SCANNER BROTHER ADS-2200 35 PPM DUPLEX,impresion,873.02952,001-0490,impresion,,,
SCANNER BROTHER ADS-2400N 30 PPM DUPLEX RED,impresion,1061.81856,001-0490,impresion,,,
SCANNER BROTHER ADS-2800W 40 PPM DUPLEX WIFI,impresion,1363.22351,001-0490,impresion,,,
SCANNER BROTHER DS-640 PORTATIL COLOR 600DPI,impresion,383.7273,001-0490,impresion,,,
SCANNER EPSON WORKFORCE ES-200 25 PPM DUPLEX,impresion,423.41772,001-0490,impresion,,,
SCANNER KODAK  RODILLO ALIMENT-MOD SEP SERIE i2000,impresion,65.71147,001-0490,impresion,,,
SCANNER KODAK  RODILLO ALIMENTACION SERIE I2000,impresion,47.465275,001-0490,impresion,,,
SCANNER KODAK 730EX SCAN STATION PLUS 70 PPM RED,impresion,1788.182825,001-0490,impresion,,,
SCANNER KODAK ALARIS i940 20PPM OFICIO DUPLEX,impresion,420.71579,001-0490,impresion,,,
SCANNER KODAK ALARIS i940 SCANMATE (CAJA DA�ADA),impresion,327.929745,001-0490,impresion,,,
SCANNER KODAK ALARIS S2050 50 PPM ADF 80 DUPLEX,impresion,1351.988495,001-0490,impresion,,,
SCANNER KODAK FEED ROLLER KIT P/E1000,impresion,98.880925,001-0490,impresion,,,
SCANNER KODAK FEED ROLLER KIT P/S2050/60/70/80,impresion,148.31531,001-0490,impresion,,,
SCANNER KODAK IMAGING GUIDE SET P/ i1400 SCANNERS,impresion,57.17712,001-0490,impresion,,,
SCANNER KODAK STACKING DEFLECTOR P/E1000/S2000,impresion,56.18041,001-0490,impresion,,,
ADAPTADOR IBM PCIe Riser Card 2 00D8604 X3630M4,accesorios,49.9125,001-0500,accesorios,,,
ADAPTADOR LENOVO 1 PCIE 8X RISER CARD 1XCPU (I),accesorios,70.33004,001-0500,accesorios,,,
ADAPTADOR LENOVO PCIE Riser CARD 1 X3550 M5,accesorios,77.488125,001-0500,accesorios,,,
ADAPTADOR LENOVO PCIe Riser Card 2 X3650M5,accesorios,109.395,001-0500,accesorios,,,
ADAPTADOR LENOVO PCIe Riser Card X3650M5,accesorios,88.12375,001-0500,accesorios,,,
ADAPTADOR LENOVO PCIE Riser X8 X8 X8 RD450,accesorios,126.108125,001-0500,accesorios,,,
CABLE HPE Ext 2.0m MiniSAS HD to MiniSAS,accesorios,90.70061,001-0500,accesorios,,,
CABLE HPE Premier Flex LC/LC OM4 2f 5m,accesorios,93.4362,001-0500,accesorios,,,
CABLE IBM iPASS HARDWARE RAID X3100M4,accesorios,23.958,001-0500,accesorios,,,
CONTROLADORA RAID LENOVO 510I SAS/SATA RD/TD,accesorios,495.01221,001-0500,accesorios,,,
CONTROLADORA RAID LENOVO 520I SAS/SATA TS150 (I),accesorios,487.014385,001-0500,accesorios,,,
DVD FRONT LENOVO IO CAGE STD x3550 M5,accesorios,53.24,001-0500,accesorios,,,
DVD FRONT LENOVO IO CAGE x3650 M5,accesorios,71.410625,001-0500,accesorios,,,
DVDRW SATA LENOVO Ultra-Slim PARA X3250 M5,accesorios,63.2225,001-0500,accesorios,,,
HP DRIVE 1.44MB DL360G4 DL580G3 KIT,accesorios,14.938495,001-0500,accesorios,,,
HPE DL360 GEN10 8SFF DP/USB/ODD BLNK KIT,accesorios,132.02189,001-0500,accesorios,,,
HPE DL380 GEN10 UNIVERSAL MEDIA BAY,accesorios,195.30654,001-0500,accesorios,,,
HPE ML350 Gen10 Redundant Fan Cage Kit,accesorios,184.768155,001-0500,accesorios,,,
HPE ML350 GEN10 SLIMLINE ODD BAY KIT,accesorios,66.08415,001-0500,accesorios,,,
INTEL APLBEZBLACK BEZEL STD CONTROL PANEL,accesorios,22.24365,001-0500,accesorios,,,
INTEL APP3HSDBKIT HOT SWAP ADAPTER,accesorios,27.579695,001-0500,accesorios,,,
INTEL ARIGPMKIT SC5300 CHASSIS KIT,accesorios,106.805985,001-0500,accesorios,,,
INTEL ASWFAN REDUNDANT FAN P/GABINETE SR2300,accesorios,51.22117,001-0500,accesorios,,,
INTEL AXXRACKFP PANEL CONTROL STD SR1400/2400,accesorios,27.044875,001-0500,accesorios,,,
INTEL AXXRIBBU1 BATTERY BACKUP FOR RAID,accesorios,198.49115,001-0500,accesorios,,,
INTEL BAHIA CDROM+FLOPPY SLIMLINE SR1350E,accesorios,26.18187,001-0500,accesorios,,,
INTEL FTE REDUNDANTE 500VA SR2300,accesorios,189.71524,001-0500,accesorios,,,
INTEL HOTSWAP FAN SC5300 FRIGHSFANS,accesorios,45.33815,001-0500,accesorios,,,
INTEL KIT 6HDD SCSI SR2400  ADRSIXDRIVE,accesorios,30.521205,001-0500,accesorios,,,
INTEL Kit Hot Swap SCSI AXX6SCSIDB SC5300,accesorios,252.99648,001-0500,accesorios,,,
INTEL RAID ACTIVATION KEY AXXRAKSAS2 FOX PLTFRM,accesorios,436.62124,001-0500,accesorios,,,
INTEL RAID AXXRAK18E,accesorios,457.15857,001-0500,accesorios,,,
INTEL RAID CONTROL SCSI ULTRA 160 PCI,accesorios,260.14395,001-0500,accesorios,,,
INTEL RAID CONTROL SRCS28X,accesorios,580.66866,001-0500,accesorios,,,
INTEL RAID CONTROL SRCZCRX PCI-X,accesorios,612.67261,001-0500,accesorios,,,
INTEL RAID SMART BATTERY AXXRSBBU4 FOR SRCSASRB,accesorios,273.2543,001-0500,accesorios,,,
INTEL SAS/SATA BACKPLANE AXX6DRV3GEXP FOR SC5299,accesorios,208.19502,001-0500,accesorios,,,
INTEL SCSI BACKPLANE KIT A1450SCSIKIT FOR SR1450,accesorios,417.1354,001-0500,accesorios,,,
INTEL SCSI CABLE SERVER CHASIS SC5300,accesorios,41.55382,001-0500,accesorios,,,
INTEL SERVER SYSTEM P4304BTSSFCNR,accesorios,921.190985,001-0500,accesorios,,,
INTEL SR2400 TAPE KIT ADRTAPEKIT,accesorios,38.1997,001-0500,accesorios,,,
KIT ADAPTADOR SAS IBM (EXTERNAL ENCLOSURE),accesorios,94.20125,001-0500,accesorios,,,
"KIT DE ENSAMBLE IBM 3 x 2,5 in HS HDD X3250M5",accesorios,30.3875,001-0500,accesorios,,,
"KIT DE ENSAMBLE IBM 4 x 3,5 in HS HDD X3300M4",accesorios,114.79875,001-0500,accesorios,,,
"KIT DE ENSAMBLE IBM 8 x 2,5 in HS HDD X3500M4",accesorios,294.00514,001-0500,accesorios,,,
"KIT DE ENSAMBLE IBM 8 x 2,5 in HS HDD X3650M5",accesorios,752.015,001-0500,accesorios,,,
KIT HPE DL380 Gen9 Bay1 Cage/Bkpln Kit,accesorios,248.071395,001-0500,accesorios,,,
KIT HPE RPS Enablement ML110 Gen9,accesorios,148.0479,001-0500,accesorios,,,
KIT INSTALACION TAPE DRIVE IBM X3630M4,accesorios,70.9852,001-0500,accesorios,,,
KIT INSTALACION TAPE DRIVE IBM X3650M4,accesorios,79.44508,001-0500,accesorios,,,
KIT Keyboard/Mouse US HPE USB,accesorios,34.13124,001-0500,accesorios,,,
Lenovo ThinkServer 1U 4-Post Slide Rail Kit RD350,accesorios,144.340625,001-0500,accesorios,,,
LENOVO THINKSERVER SYSTEM MANAGER PREMIUM,accesorios,36.6025,001-0500,accesorios,,,
LENOVO USB Memory Key for VMware ESXi 5.5,accesorios,30.84939,001-0500,accesorios,,,
MB INTEL S845WD11U SERVER 1U V+R AGP RAID ATA,accesorios,46.614425,001-0500,accesorios,,,
MB INTEL SE7501WV2ATA  DUAL XEON,accesorios,39.50375,001-0500,accesorios,,,
PLACA HPE PCI Baffle Kit,accesorios,12.045605,001-0500,accesorios,,,
RAID 5 UPGRADE IBM M5100 512MB Cache/RAID 5,accesorios,86.90825,001-0500,accesorios,,,
System x3650 M5 ODD Cable,accesorios,25.829375,001-0500,accesorios,,,
UPGRADE CONTROLADORA RAID C105 8-Pack Enabler,accesorios,26.996255,001-0500,accesorios,,,
UPGRADE RAID 5 IBM M5100  1GB FLASH,accesorios,536.339375,001-0500,accesorios,,,
x3250 M5 HS 2.5in HDD 4 to 8 Upgrade Kit,accesorios,134.76375,001-0500,accesorios,,,
INTELLICAD BRICSNET ANUAL + MANUALES,accesorios,189.9337,001-0510,accesorios,,,
NORTON PCANYWHERE 11.0 HOST Y REMOTE 1 USUARIO,accesorios,271.822265,001-0510,accesorios,,,
NORTON PERSONAL FIREWALL 2004 RETAIL,accesorios,47.01554,001-0510,accesorios,,,
NORTON SYSTEMWORKS 2001 BOX ESP,accesorios,90.882935,001-0510,accesorios,,,
NORTON SYSTEMWORKS 2001 BOX INGLES,accesorios,90.882935,001-0510,accesorios,,,
NORTON SYSTEMWORKS 2004 PROFESIONAL,accesorios,125.913645,001-0510,accesorios,,,
NORTON SYSTEMWORKS 2004 RETAIL,accesorios,82.73496,001-0510,accesorios,,,
NORTON SYSTEMWORKS 2006 BASIC,accesorios,25.18516,001-0510,accesorios,,,
NORTON SYSTEMWORKS FOR GAMES,accesorios,28.53994,001-0510,accesorios,,,
SOFT IBM SIMPLY SPEAKING (RECONOCIMIENTO,accesorios,95.41675,001-0510,accesorios,,,
DAT IMATION 4MM 20GB/40GB 150M,accesorios,20.2312,001-0520,accesorios,,,
DAT IMATION 4MM 4GB/8GB 120M,accesorios,8.30544,001-0520,accesorios,,,
DAT IMATION 8MM 5GB/10GB 112M,accesorios,9.43679,001-0520,accesorios,,,
HP DLT Cleaning Cartridge  C5142A,accesorios,77.71709,001-0520,accesorios,,,
HP DLT IIIXT 30/60GB C5141A,accesorios,1.21,001-0520,accesorios,,,
HP DLT VS160 Cleaning Cartridge C8016A,accesorios,78.30273,001-0520,accesorios,,,
HPE LTO-5 Ultrium RW Bar Code Label Pack X 100,accesorios,108.2103,001-0520,accesorios,,,
HPE LTO-8 30TB RW Bar Code Label Pack X 100,accesorios,108.2103,001-0520,accesorios,,,
LIBRERIA HPE MSL2024 0-Drive Tape,accesorios,3374.33789,001-0520,accesorios,,,
LIMPIA DAT 8MM IMATION,accesorios,19.87183,001-0520,accesorios,,,
LTO HPE Ultrium Universal Cleaning Cartridge,accesorios,110.15356,001-0520,accesorios,,,
LTO-9 HPE 45TB RW Data Cartridge,accesorios,294.47044,001-0520,accesorios,,,
DRIVE HPE MSL LTO-8 SAS Drive Upgrade Kit,accesorios,7628.29375,001-0521,accesorios,,,
DRIVE HPE MSL LTO-9 45000 SAS Drive Upgrade Kit,accesorios,8222.8575,001-0521,accesorios,,,
HPE LTO-9 45000 Ext Tape Drive,accesorios,8000.97375,001-0521,accesorios,,,
STORAGE IBM DS3512 DUAL CONTROLLER,accesorios,4819.21825,001-0521,accesorios,,,
STORAGE IBM DS3524 DUAL CONTROLLER,accesorios,3978.79339,001-0521,accesorios,,,
"CPU DELL Intel  Xeon  Sil 4309Y 2.8G, 8C/16T 12M",procesadores,1794.10231,001-0522,procesadores,,,
CPU HPE BL465c Gen8 6272 Kit,procesadores,78.78871,001-0522,procesadores,,,
CPU HPE DL160 Gen10 Xeon-B 3204 Kit,procesadores,514.18081,001-0522,procesadores,,,
CPU HPE DL360 Gen10 Xeon-G 5218R 20 CORES Kit,procesadores,3369.10706,001-0522,procesadores,,,
CPU HPE DL360 Gen10 Xeon-S 4210R Kit,procesadores,1181.82152,001-0522,procesadores,,,
CPU HPE DL360 Gen10+ Xeon-S 4314 Kit,procesadores,1639.24761,001-0522,procesadores,,,
CPU HPE DL380 Gen10 Xeon-G 5220 Kit,procesadores,3627.939315,001-0522,procesadores,,,
CPU HPE ML350 Gen10 Xeon-S 4210 Kit	,procesadores,820.061385,001-0522,procesadores,,,
DDR4 16GB HPE 1Rx8 PC4-3200AA-E STND Kit,rams,538.041075,001-0523,rams,,,
DDR4 16GB HPE 2Rx8 PC4-2666V-E STND Kit,rams,353.9536,001-0523,rams,,,
DDR4 32GB HPE 2Rx4 PC4-3200AA-R Smart Kit,rams,1185.72025,001-0523,rams,,,
HD SATA DELL 1TB 7.2 RPM 6GBP 3.5 CERTIFICADO DELL,discos,133.24311,001-0524,discos,,,
HD SATA DELL 1TB 7.2 RPM 6GBP 3.5 DELL (EXPO),discos,130.3016,001-0524,discos,,,
HD SATA DELL 1TB 7.2 RPM 6GBPS 3.5,discos,249.97973,001-0524,discos,,,
HD SATA DELL 2TB 7.2K RPM 6GBPS 3.5IN  CK,discos,450.36706,001-0524,discos,,,
HD SATA DELL 2TB 7.2K RPM 6GBPS 512 3.5 CARRY,discos,263.25299,001-0524,discos,,,
HD SATA DELL 2TB 7.2K RPM 6GBPS 512 3.5IN - SIN CK,discos,309.454145,001-0524,discos,,,
HD SATA DELL 4TB 7.2 RPM 6GBPS 3.5IN  HOT PLUG,discos,730.0293,001-0524,discos,,,
HD SATA DELL 8TB 6GBPS 3.5IN CABLED,discos,942.40146,001-0524,discos,,,
HD SATA DELL 8TB 7.2K RPM 6GBPS 512E 3.5IN HOTPLUG,discos,632.69206,001-0524,discos,,,
HD SATA HPE 1TB 6G 3.5in NHP MDL HDD,discos,199.41493,001-0524,discos,,,
HD SAS DELL 1.2TB 12GBPS 512N 3.5IN HOT-PLUG,discos,909.21831,001-0525,discos,,,
HD SAS DELL 1.8TB 12GBPS 512N 3.5IN HOT-PLUG CK,discos,818.5177,001-0525,discos,,,
HD SAS DELL 2.4TB 12GBPS 512N 3.5IN HOT-PLUG,discos,1389.26788,001-0525,discos,,,
HD SAS DELL 300GB 15K RPM 12GBPS 2.5IN  SIN CK,discos,413.27,001-0525,discos,,,
HD SAS HPE MSA 1.8TB 12G 10K 2.5in HDD,discos,1625.43953,001-0525,discos,,,
DELL BOSS S2 Cables for R750xs and R550,discos,49.13051,001-0526,discos,,,
HD SATA DELL SSD 480GB MIX 12GBPS 512N 3.5 HOT PLU,discos,1762.025265,001-0526,discos,,,
HD SATA DELL SSD 960GB RI 6GBPS 3.5IN CABLED,discos,774.2735,001-0526,discos,,,
SSD SATA HPE 1.92TB MU SFF BC MV,discos,3203.754125,001-0526,discos,,,
SSD SATA HPE 960GB MU SFF BC MV,discos,1666.000765,001-0526,discos,,,
SSD 1.92TB HPE SAS MU LFF SCC VS MV,discos,1322.464,001-0527,discos,,,
SSD 1.92TB HPE SAS MU LFF SCC VS MV (CAJA ABIERTA),discos,1269.56544,001-0527,discos,,,
SSD SAS HPE 960GB MU SFF BC VS MV,discos,2238.34325,001-0527,discos,,,
FUENTE HPE 500W FS Plat Ht Plg LH Pwr Sply Kit,fuentes,314.753725,001-0529,fuentes,,,
FUENTE HPE 800W Flex Hot Plug Low Halogen P,fuentes,624.511745,001-0529,fuentes,,,
ADAPTADOR P/JOYSTICK 15M/15M,teclados,1.53153,001-0530,teclados,,,
MOUSE TRUST IVERO USB BLACK,teclados,5.676385,001-0530,teclados,,,
TEC+MOUSE CX LK-66385 USB BLACK,teclados,12.993695,001-0530,teclados,,,
TEC+MOUSE DELL KM300C LATINO USB BLACK,teclados,27.56754,001-0530,teclados,,,
TEC+MOUSE GENIUS KM-200 SMART USB BLACK,teclados,15.716415,001-0530,teclados,,,
TEC+MOUSE GENIUS SLIMSTAR C126 SMART USB BLACK,teclados,16.761745,001-0530,teclados,,,
TEC+MOUSE GIGABYTE KM6300 USB BLACK,teclados,17.442425,001-0530,teclados,,,
TEC+MOUSE LOGITECH MK270 ING WIRELESS ( I ),teclados,48.996805,001-0530,teclados,,,
TEC+MOUSE LOGITECH MK295 WIRELESS ING GRAPHI ( I ),teclados,56.48764,001-0530,teclados,,,
TEC+MOUSE TRUST PRIMO BLACK USB SILENCIOSO,teclados,16.15834,001-0530,teclados,,,
TEC+MOUSE WIRELESS GENIUS KM-8101 BLACK,teclados,26.39373,001-0530,teclados,,,
TEC+MOUSE WIRELESS GENIUS SLIMSTAR 8000SE  BLACK,teclados,25.40395,001-0530,teclados,,,
TECLADO ACER GAMER OKB930,teclados,34.32572,001-0530,teclados,,,
TECLADO ADATA XPG MAGE MECANIC RED RGB,teclados,89.92269,001-0530,teclados,,,
TECLADO ADATA XPG SUMMONER CHERRY BLUE RGB,teclados,115.557585,001-0530,teclados,,,
TECLADO ADATA XPG SUMMONER CHERRY RED RGB,teclados,150.94079,001-0530,teclados,,,
TECLADO ASUS SLIM BLACK USB OEM,teclados,29.172,001-0530,teclados,,,
TECLADO EVGA Z12 RGB COLOR MEMBRANA SP,teclados,61.516455,001-0530,teclados,,,
TECLADO EVGA Z20 RGB OPTICAL MECHANICAL CLICKY,teclados,167.44728,001-0530,teclados,,,
TECLADO EVGA Z20 RGB OPTICAL MECHANICAL LINEAR ESP,teclados,172.86841,001-0530,teclados,,,
TECLADO GAMEMAX K207-S ILUMINADO 3 COLORES USB,teclados,20.311005,001-0530,teclados,,,
TECLADO GAMEMAX KG801 MECANICO RGB USB,teclados,100.81357,001-0530,teclados,,,
TECLADO GENIUS GAMING GX K215 SP USB,teclados,19.86127,001-0530,teclados,,,
TECLADO GENIUS GAMING GX Scorpion K8  SP BLACK,teclados,33.18315,001-0530,teclados,,,
TECLADO GENIUS KB-116 USB BLACK,teclados,10.319595,001-0530,teclados,,,
TECLADO GENIUS KB-118 USB BLACK,teclados,10.587005,001-0530,teclados,,,
TECLADO LOGITECH K120 ING USB BLACK ( I ),teclados,16.591575,001-0530,teclados,,,
TECLADO LOGITECH K400 PLUS WIFI TOUCH ( I ),teclados,66.97405,001-0530,teclados,,,
TECLADO MSI VIGOR GK50 LOW PROFILE US,teclados,109.80827,001-0530,teclados,,,
TECLADO PERFORMANCE KEQ-022 USB BLACK,teclados,5.141565,001-0530,teclados,,,
WIN SERVER CAL HPE 2022 5USR CAL WW LTU,accesorios,294.75875,001-0531,accesorios,,,
WIN SERVER HPE 2019 Std (16-Core) ROK es SW,accesorios,1012.90046,001-0531,accesorios,,,
WIN SERVER HPE 2022 Essentials ROK AMS SW,accesorios,433.021875,001-0531,accesorios,,,
APC Easy UPS 3S Kit Paralelo,electro,454.706395,001-0540,electro,,,
APC Easy UPS 3S Tarjeta de red,electro,582.115105,001-0540,electro,,,
