Descripcion,cateogira,precio final,,,,569,electro
CELULAR XIAOMI REDMI 10  4GB + 128GB PEBBLE WHITE,celulares,469.60342,,,,,
CELULAR XIAOMI REDMI 10  4GB + 128GB SEA BLUE,celulares,469.60342,,,,,
CELULAR XIAOMI REDMI 10  6GB + 128GB C.GREY 2022,celulares,469.60342,,,,,
CELULAR XIAOMI REDMI 10  6GB + 128GB PEBBLE WHITE,celulares,469.60342,,,,,
CELULAR XIAOMI REDMI 10A 4GB + 128GB GRAPHITE GRAY,celulares,363.92202,,,,,
CELULAR XIAOMI REDMI 10C 4GB + 128GB GRAPHITE GRAY,celulares,408.76341,,,,,
CELULAR XIAOMI REDMI 10C 4GB + 128GB MINT GREEN,celulares,408.76341,,,,,
CELULAR XIAOMI REDMI 10C 4GB + 128GB OCEAN BLUE,celulares,408.76341,,,,,
CELULAR XIAOMI REDMI 10C 4GB + 64GB GRAPHITE GREY,celulares,415.16552,,,,,
CELULAR XIAOMI REDMI 10C 4GB + 64GB GRAPHITE GREY,celulares,415.16552,,,,,
CELULAR XIAOMI REDMI 10C 4GB + 64GB OCEAN BLUE,celulares,415.16552,,,,,
CELULAR XIAOMI REDMI 9C 4GB +128GB AURORA GREEN,celulares,363.92202,,,,,
CELULAR XIAOMI REDMI 9C 4GB +128GB LAVENDER PURPLE,celulares,405.5557,,,,,
CELULAR XIAOMI REDMI 9C 4GB +128GB MIDNIGHT GRAY,celulares,399.15359,,,,,
CELULAR XIAOMI REDMI 9T 6GB +128GB TWILIGHT BLUE,celulares,543.26096,,,,,
CELULAR XIAOMI REDMI NOTE 10 4GB + 64GB  ONYX GRAY,celulares,497.30153,,,,,
CELULAR XIAOMI REDMI NOTE 10 5G 4GB + 128GB G.GRAY,celulares,540.05325,,,,,
CELULAR XIAOMI REDMI NOTE 10 5G 4GB + 128GB G.GRAY,celulares,504.82168,,,,,
CELULAR XIAOMI REDMI NOTE 10 5G 4GB + 128GB G.GRAY,celulares,504.82168,,,,,
CELULAR XIAOMI REDMI NOTE 10 5G 4GB + 128GB N.BLUE,celulares,504.82168,,,,,
CELULAR XIAOMI REDMI NOTE 10 5G 4GB + 128GB N.BLUE,celulares,540.05325,,,,,
CELULAR XIAOMI REDMI NOTE 10 5G 4GB + 128GB N.BLUE,celulares,504.82168,,,,,
CELULAR XIAOMI REDMI NOTE 10 5G 4GB +128GB A.GREEN,celulares,504.82168,,,,,
CELULAR XIAOMI REDMI NOTE 10 PRO 8GB + 128G BRONCE,celulares,700.17255,,,,,
CELULAR XIAOMI REDMI NOTE 10 PRO 8GB + 128G G.BLUE,celulares,700.17255,,,,,
CELULAR XIAOMI REDMI NOTE 10 PRO 8GB + 128GB GRAY,celulares,754.45073,,,,,
CELULAR XIAOMI REDMI NOTE 10 PRO 8GB +128 N.PURPLE,celulares,700.17255,,,,,
CELULAR XIAOMI REDMI NOTE 10 PRO 8GB +128G A.GREEN,celulares,700.17255,,,,,
CELULAR XIAOMI REDMI NOTE 10S 6GB + 128GB O BLUE,celulares,620.1129,,,,,
CELULAR XIAOMI REDMI NOTE 10S 6GB + 128GB O.GREY,celulares,620.1129,,,,,
CELULAR XIAOMI REDMI NOTE 10S 6GB + 128GB OCE BLUE,celulares,620.1129,,,,,
CELULAR XIAOMI REDMI NOTE 11 4GB + 64GB G.GREY,celulares,476.00553,,,,,
CELULAR XIAOMI REDMI NOTE 11 6GB + 128GB G.GRAY,celulares,549.66307,,,,,
CELULAR XIAOMI REDMI NOTE 11 6GB + 128GB S. BLUE,celulares,549.66307,,,,,
CELULAR XIAOMI REDMI NOTE 11 6GB + 128GB T. BLUE,celulares,549.66307,,,,,
CELULAR XIAOMI REDMI NOTE 11 PRO 5G 6GB+128 G.GRAY,celulares,706.58797,,,,,
CELULAR XIAOMI REDMI NOTE 11 PRO 5G 6GB+128G BLUE,celulares,796.17758,,,,,
CELULAR XIAOMI REDMI NOTE 11 PRO 5G 6GB+128G GRIS,celulares,796.17758,,,,,
CELULAR XIAOMI REDMI NOTE 11 PRO 5G 8GB+128G BLUE,celulares,821.00073,,,,,
CELULAR XIAOMI REDMI NOTE 11 PRO 5G 8GB+128G GRIS,celulares,810.40597,,,,,
CELULAR XIAOMI REDMI NOTE 11 PRO+ 5G 8GB+128G GREE,celulares,981.98518,,,,,
CELULAR XIAOMI REDMI NOTE 11 PRO+ 5G 8GB+128G GRIS,celulares,981.98518,,,,,
CELULAR XIAOMI REDMI NOTE 11 PRO+ 5G 8GB+256 GREEN,celulares,1050.14569,,,,,
CELULAR XIAOMI REDMI NOTE 11 PRO+ 5G 8GB+256G BLUE,celulares,1027.1327,,,,,
CELULAR XIAOMI REDMI NOTE 11 PRO+ 5G 8GB+256G GRAY,celulares,1050.14569,,,,,
CELULAR XIAOMI REDMI NOTE 11 PRO+ 5G 8GB+256G GREE,celulares,1037.70084,,,,,
CELULAR XIAOMI REDMI NOTE 11 PRO+ 5G 8GB+256G GRIS,celulares,1042.82519,,,,,
CELULAR XIAOMI REDMI NOTE 11S 6GB + 128GB  G. GRAY,celulares,623.32061,,,,,
CELULAR XIAOMI REDMI NOTE 11S 6GB + 128GB G. GRAY,celulares,623.32061,,,,,
CELULAR XIAOMI REDMI NOTE 11S 8GB + 128GB  G.GRAY,celulares,658.53887,,,,,
CELULAR XIAOMI REDMI NOTE 11S 8GB + 128GB  P.WHITE,celulares,658.53887,,,,,
CELULAR XIAOMI REDMI NOTE 11S 8GB + 128GB  T.BLUE,celulares,658.53887,,,,,
CHARGER NEWLAND 4-SLOTCRADLE FOR MT6550,accesorios,17.5692,,,,,
CINTA CIFRA M310 NEGRO/ROJO PACK X 3,accesorios,3.96638,,,,,
CINTA DE CABEZAL DE FX850  -005020-,accesorios,6.94782,,,,,
CINTA DE CABEZAL DE FX870 -13Z2005610-,accesorios,4.33906,,,,,
CINTA DE CABEZAL DE LX300 -1082013002-,accesorios,4.08617,,,,,
CINTA HELICOIDAL DEXSON 15MM 5/8 (X10M) NEGRA,cables,27.89776,,,,,
CINTA HELICOIDAL DEXSON 25MM 1 (X10M) BLANCA,cables,41.74016,,,,,
CINTA HELICOIDAL DEXSON 6MM 1/4 (X10M) BLANCA,cables,8.42523,,,,,
CINTA LEXMARK 1040995 6400/6412 General Purpose,impresion,1.519375,,,,,
CINTA P/ROTU BROTHER MK231 12MM NEGRO/BLANCO,impresion,20.12472,,,,,
CINTA P/ROTU BROTHER TZE211 6MM NEGRO/BLANCO,impresion,24.3573,,,,,
CINTA P/ROTU BROTHER TZE231 12MM NEGRO/BLANCO,impresion,28.8827,,,,,
CINTA P/ROTU BROTHER TZE251 24MM NEGRO/BLANCO,impresion,43.90969,,,,,
CINTA P/ROTU BROTHER TZE355 24MM BLANCO/NEGRO,impresion,48.8477,,,,,
CINTA P/ROTU BROTHER TZEFX231 12MM FLEX NEG/BLA,impresion,35.0053,,,,,
CINTA P/ROTU BROTHER TZEMPG31 12MM GEOMETRICO,impresion,18.3678,,,,,
CINTA P/ROTU BROTHER TZEMPSL31 12MM ENCAJE PLATEAD,impresion,18.3678,,,,,
CINTA P/ROTU BROTHER TZES961 36MM ADHE EXT NEG/PLA,impresion,67.36191,,,,,
CINTA P/ROTU BROTHER TZESE4 18MM VOID NEGRO/BLANCO,impresion,66.43021,,,,,
CINTA P/ROTU TERMOCONTRAIBLE BROTHER 11.7MM,impresion,58.84351,,,,,
CINTA P/ROTU TERMOCONTRAIBLE BROTHER 23.6MM,impresion,63.32755,,,,,
CINTA P/ROTU TERMOCONTRAIBLE BROTHER 8.8MM,impresion,54.85051,,,,,
CINTO BROTHER PORTA P-TOUCH,accesorios,1.519375,,,,,
CITIZEN PRINTIVA ROJO,impresion,14.07549,,,,,
COLECTOR HONEYWELL EDA51 2GB ANDROID 10 BT WIFI,electro,838.658535,,,,,
COMPITT DISK KIT LIMPIEZA CD,accesorios,5.77654,,,,,
COMPITT LUBE SECO 120GR LUBRICANTE P/IMPRESORAS,accesorios,0.70543,,,,,
COMPITT OR 160GR/180CC GAS INERTE COMP C/GATILLO,accesorios,9.66306,,,,,
COMPITT OR 450GR/440CC C/GATILLO,accesorios,3.1944,,,,,
CONEC FIBRA PROCLICK 62M1 OM2 HUBBEL X12 UNIDADES,redes,69.55806,,,,,
CONECTOR FIBRA PROCLICK 50GM HUBBEL X 12 UNIDADES,redes,69.55806,,,,,
CONECTOR FIBRA SC MULTIMODO 2 QUICK HUBBELL X 12,redes,57.61899,,,,,
CONECTOR USB  P/GABINETE,cables,2.1879,,,,,
CONECTOR USB+AUDIO+MIC P/GABINETE,cables,3.269695,,,,,
CONTACFLUX GEL DELTA,accesorios,0.22627,,,,,
CONTACTO AUXILIAR Schneider FRONTAL 1NA+1NC,accesorios,47.18395,,,,,
CONTADOR DE BILLETES CASH SORTER BCP S110 (1+1),accesorios,2716.849135,,,,,
CONTADOR DE BILLETES ELICOUNT ELI-2000 PLUS,accesorios,2756.754,,,,,
CONTRO ADAPTEC 29160LP KIT,accesorios,551.86131,,,,,
CONTRO REMOTO SMART GRALF WIFI,electro,54.004665,,,,,
CONTROL REMOTO CX MULTIMEDIA CENTER PC/NB USB,electro,21.80607,,,,,
CONTROL REMOTO CX MULTIMEDIA CENTER PC/NB USB/EXPO,electro,13.528515,,,,,
CONTROLADOR ACCESO TENDA M3 GIGABIT,accesorios,94.90624,,,,,
CONTROLADORA RAID LENOVO 510I SAS/SATA RD/TD,accesorios,452.056605,,,,,
CONTROLADORA RAID LENOVO 520I SAS/SATA TD350 (I),redes,582.29743,,,,,
CONTROLADORA RAID LENOVO 520I SAS/SATA TS150 (I),accesorios,487.014385,,,,,
CORREA TRANSPORTE PARA MONOPATIN,accesorios,2.70193,,,,,
CORTADORA DE PELO  WAHL 1400 BLANCA,electro,48.510605,,,,,
CORTADORA DE PELO  WAHL COLOR CODE,electro,23.19174,,,,,
CORTADORA DE PELO  WAHL EASY CUT BLACK,electro,16.324165,,,,,
CORTADORA DE PELO  WAHL EASY CUT RED,electro,19.046885,,,,,
CORTADORA DE PELO  WAHL EXTREME GRIP,electro,71.25261,,,,,
CORTADORA DE PELO  WAHL HOMECUT 20PCS,electro,30.41181,,,,,
CORTADORA DE PELO CLIPPER WAHL HOMECUT 18PCS,electro,26.18187,,,,,
CORTADORA DE PELO WAHL 1400 WHITE,electro,43.624295,,,,,
CORTADORA DE PELO WAHL COLORPRO PLUS,electro,59.498725,,,,,
CORTADORA DE PELO WAHL HOMECUT BASIC 14PCS,electro,17.40596,,,,,
CORTADORA DE PELO WAHL HOMECUT COMBO BLACK,electro,27.433835,,,,,
CORTADORA DE PELO WAHL PROBASIC PROFESIONAL,electro,53.43338,,,,,
CPU AMD OPTERON DP MODEL 248 BOX S940,procesadores,23.19174,,,,,
CPU AMD OPTERON DP MODEL 256 BOX S940,procesadores,25.100075,,,,,
CPU AMD RYZEN 5 3600 AM4 4.2GHZ 6CORES,procesadores,258.4153,,,,,
CPU AMD RYZEN 5 7600X AM5 105W 38MB SIN COOLER,procesadores,612.3689,,,,,
CPU AMD RYZEN 7 4750G PRO AM4 MPK,procesadores,566.81196,,,,,
CPU AMD RYZEN 9 7950X AM5 170W 80MB SIN COOLER,procesadores,1432.211495,,,,,
CPU COOLER AM4 ALUMINUM FAN,coolers,9.38355,,,,,
CPU COOLER INTEL ALUMINUM FAN S1200,coolers,6.655,,,,,
CPU COOLER INTEL BXTS15A S1151/S1200 SKY/COFFE/COM,coolers,53.05366,,,,,
CPU COOLER INTEL E97379-003 1150/1151/1200 (I),coolers,15.74573,,,,,
CPU COOLER INTEL FNHTSNKASY BXTSRS1 OEM S1700,coolers,18.7671,,,,,
"CPU DELL Intel  Xeon  Sil 4309Y 2.8G, 8C/16T 12M",procesadores,1794.10231,,,,,
CPU HPE BL465c Gen8 6272 Kit,procesadores,78.78871,,,,,
CPU HPE DL160 Gen10 Xeon-B 3204 Kit,procesadores,514.18081,,,,,
CPU HPE DL360 Gen10 Xeon-G 5218R 20 CORES Kit,procesadores,3076.74653,,,,,
CPU HPE DL360 Gen10 Xeon-S 4210R Kit,procesadores,1079.26676,,,,,
CPU HPE DL360 Gen10+ Xeon-S 4314 Kit,procesadores,1639.24761,,,,,
CPU HPE DL380 Gen10 Xeon-G 5220 Kit,procesadores,3627.939315,,,,,
CPU HPE ML350 Gen10 Xeon-S 4210 Kit,001-0522,,,procesadores,,,
"CPU IBM E5-2407 X3300 4C 2,2GHz/1066MHz/10MB",procesadores,168.68709,,,,,
"CPU IBM E5-2420 X3630 6C 1,9GHz/1333MHzW/Fan",procesadores,221.524875,,,,,
CPU IBM E5-2650 X3650 8C 2.0GHz/1600MHzW/Fan,procesadores,129.01317,,,,,
CPU INTEL  G5905 CELERON COMETLAKE S1200 BOX,procesadores,89.083995,,,,,
CPU INTEL  G5925 CELERON COMETLAKE S1200 BOX,procesadores,105.87005,,,,,
CPU INTEL  G6900 CELERON ALDERLAKE S1700 BOX,procesadores,124.88047,,,,,
CPU INTEL  PENT G6405 COMETLAKE S1200 BOX,procesadores,132.22209,,,,,
CPU INTEL  PENT G7400 ALDERLAKE S1700 BOX,procesadores,179.663055,,,,,
CPU INTEL CORE I3-10105 COMETLAKE S1200 BOX,procesadores,220.114895,,,,,
CPU INTEL CORE I3-10105F COMETLAKE S1200 BOX,procesadores,154.064625,,,,,
CPU INTEL CORE I3-12100F ALDERLAKE S1700 BOX,procesadores,220.29722,,,,,
CPU INTEL CORE I5-11600K ROCKETLAKE S1200 BOX,procesadores,534.18794,,,,,
CPU INTEL CORE I5-11600KF ROCKETLAKE S1200 BOX,procesadores,474.96878,,,,,
CPU INTEL CORE I5-12600K ALDERLAKE S1700 BOX,procesadores,601.976375,,,,,
CPU INTEL CORE I5-13600K RAPTORLAKE S1700 BOX,procesadores,720.59702,,,,,
CPU INTEL CORE I5-13600KF RAPTORLAKE S1700 BOX,procesadores,660.344685,,,,,
CPU INTEL CORE I5-3330 IVY BRIDGE S1155 BOX (EXPO),procesadores,160.90789,,,,,
CPU INTEL CORE I7 920 S1366 BOX (EXPO),procesadores,232.610235,,,,,
CPU INTEL CORE I7-10700K COMETLAKE S1200 BOX,procesadores,717.97154,,,,,
CPU INTEL CORE I7-10700KF COMETLAKE S1200 BOX,procesadores,656.68603,,,,,
CPU INTEL CORE I7-11700K ROCKETLAKE S1200 BOX,procesadores,765.765,,,,,
CPU INTEL CORE I7-11700KF ROCKETLAKE S1200 BOX,procesadores,697.50252,,,,,
CPU INTEL CORE I7-12700K ALDERLAKE S1700 BOX,procesadores,770.18942,,,,,
CPU INTEL CORE I7-13700K RAPTORLAKE S1700 BOX,procesadores,949.5486,,,,,
CPU INTEL CORE I7-13700KF RAPTORLAKE S1700 BOX,procesadores,889.296265,,,,,
CPU INTEL CORE I9-12900 ALDERLAKE S1700 BOX,procesadores,1055.22417,,,,,
CPU INTEL CORE I9-12900F ALDERLAKE S1700 BOX,procesadores,1000.320035,,,,,
"CPU LENOVO E5-2609v4 RD350 8C 1,7GHz/20MB W/F",procesadores,258.038495,,,,,
"CPU LENOVO E5-2609v4 RD450 8C 1,7GHz/20MB",procesadores,233.83789,,,,,
"CPU LENOVO E5-2620v2 X3550 6C 2,1GHz/15MB",procesadores,308.165715,,,,,
"CPU LENOVO E5-2630v2 X3650 6C 2,6GHz/15MB",procesadores,402.026625,,,,,
"CPU LENOVO E5-2650v2 X3650 8C 2,6GHz/20MB OEM",procesadores,660.57563,,,,,
"CPU LENOVO E7-8870 10C X3850X5 2,4GHz/30MB",procesadores,566.289295,,,,,
CPU MOBILE INTEL CM380 1.6G 400MHZ 1MB OEM,procesadores,49.3493,,,,,
CPU MOBILE INTEL T1300 1.66 2M 667M OEM,procesadores,75.09359,,,,,
CUCHILLA P/FIBRA OPTICA HUBBELL MULTI-SINGLEM,redes,126.09597,,,,,
CX DDR2 512MB MEMORY RAM U4C40,rams,15.94736,,,,,
CX MEMORY RAM HP520 SODIMM 512M,rams,17.7463,,,,,
CX502E BACK COVER P/ REPUESTO,accesorios,12.42241,,,,,
DAT IMATION 4MM 20GB/40GB 150M,accesorios,20.2312,,,,,
DAT IMATION 4MM 4GB/8GB 120M,accesorios,8.30544,,,,,
DAT IMATION 8MM 5GB/10GB 112M,accesorios,9.43679,,,,,
DATA CARTRIDGE 2120 XL 170/340 MB,accesorios,28.49671,,,,,
DAUGHTER IBM 8GB FC 4 PUERTOS,accesorios,1030.59814,,,,,
DDR 256MB 333,rams,3.81667,,,,,
DDR2 256MB KTH-ZD8000/256 KINGSTON,rams,1.96911,,,,,
DDR4 16GB HIKVISION 2666MHZ CL19 SINGLE TRAY,rams,130.3016,,,,,
DDR4 16GB HPE 1Rx8 PC4-3200AA-E STND Kit,rams,538.041075,,,,,
DDR4 16GB HPE 2Rx8 PC4-2666V-E STND Kit,rams,353.9536,,,,,
DDR4 16GB P/DELL SERVER 2666MHZ KINGSTON,rams,337.909,,,,,
DDR4 16GB P/DELL SERVER 2666MHZ KINGSTON,rams,337.909,,,,,
DDR4 16GB P/DELL SERVER 2666MHZ KINGSTON SIN BLIST,rams,321.01355,,,,,
DDR4 16GB QNAP 2400MHZ,rams,685.238125,,,,,
DDR4 32GB HPE 2Rx4 PC4-3200AA-R Smart Kit,rams,1185.72025,,,,,
DDR4 32GB P/DELL SERVER 2666MHZ KINGSTON EXPO,rams,559.17862,,,,,
DDR4 32GB QNAP 2666MHZ,rams,1187.5435,,,,,
DDR4 4GB ADATA 2666MHZ CL19,rams,42.68836,,,,,
DDR4 4GB HIKVISION 2666MHZ CL19 BLISTER,rams,42.214315,,,,,
DDR4 4GB HIKVISION 2666MHZ CL19 SINGLE TRAY,rams,42.214315,,,,,
DDR4 4GB KINGSTON 2666MHZ CL16 FURY BEAST BLACK,rams,64.603825,,,,,
DDR4 4GB KINGSTON 2666MHZ CL19 KVR,rams,45.43539,,,,,
DDR4 4GB KINGSTON 3200MHZ CL16 FURY BEAST BLACK,rams,69.684615,,,,,
DDR4 8GB HIKVISION 2666MHZ CL19 SINGLE TRAY,rams,60.87224,,,,,
DDR5 16GB ADATA 4800MHZ CL40 SINGLE TRAY,rams,263.508245,,,,,
DDR5 16GB ADATA XPG 5200MHZ LANCER BLACK,rams,307.776755,,,,,
DDR5 16GB ADATA XPG 5200MHZ LANCER RGB,rams,320.96493,,,,,
DDR5 16GB KINGSTON 4800MHZ CL22 KVR,rams,312.857545,,,,,
DDR5 16GB KINGSTON 4800MHZ CL38 FURY BEAST BLACK,rams,319.38478,,,,,
DDR5 16GB KINGSTON 5600MHZ CL40 FURY BEAST BLACK,rams,357.13821,,,,,
DDR5 16GB KINGSTON 6000MHZ CL40 FURY BEAST BLACK,rams,407.21681,,,,,
DDR5 32GB GIGABYTE AORUS MEMORY 5200MHz 2X16GB,rams,769.02254,,,,,
DDR5 8GB ADATA 4800MHZ CL40 SINGLE TRAY,rams,145.094235,,,,,
DDR5 8GB KINGSTON 4800MHZ CL22 KVR,rams,169.12467,,,,,
DDR5 8GB KINGSTON 4800MHZ CL38 FURY BEAST BLACK,rams,174.217615,,,,,
DDR5 8GB KINGSTON 5200MHZ CL40 FURY BEAST BLACK,rams,180.01555,,,,,
DDR5 8GB KINGSTON 5600MHZ CL40 FURY BEAST BLACK,rams,193.082175,,,,,
DDR5 8GB KINGSTON 6000MHZ CL40 FURY BEAST BLACK,rams,217.76898,,,,,
"DELL  Riser Config 6, 1xOCP 3.0(x16)+ 1x16LP",accesorios,99.54945,,,,,
DELL BOSS S2 Cables for R750xs and R550,discos,49.13051,,,,,
DELL COOLER HEAT SINK PARA EL R440 (EXPO),coolers,52.035555,,,,,
DELL COOLER HEAT SINK PARA EL SEGUNDO CPU R440,coolers,56.143945,,,,,
DELL Heatsink for 1 CPU - LESS THAN 165W,accesorios,55.30525,,,,,
"Dell Networking SFP+ SR Optic, 1GB (SFP TO RJ45)",accesorios,224.04096,,,,,
DIGITAL FOTO SONY UP-DR200,camaras,445.38351,,,,,
DIMM 128MB PC100 KINGSTON CL3 - DISCONTINUADA,rams,4.76476,,,,,
DISC FOTO PC I-CATCH WEB DIGITAL CAMERA 2MB,accesorios,41.9265,,,,,
DISK IOMEGA ZIP 100MB PC/MAC X3,accesorios,62.11777,,,,,
DISKETTE OPTICO REGRABABLE 1.2 GB (5 1/4,accesorios,7.42698,,,,,
DIVISOR 3 VIAS SPLITTER,redes,70.71603,,,,,
DRIVE  1.44 PERFORMANCE BLACK,accesorios,1.40998,,,,,
"DRIVE 1,44  R P/ PLAN MI PC",accesorios,9.52952,,,,,
DRIVE 1.44 NOGANET BEIGE,accesorios,1.324895,,,,,
DRIVE 1.44 NOGANET BLACK,accesorios,1.981265,,,,,
DRIVE 1.44 SABRENT EXTERNA USB BLACK,accesorios,1.36136,,,,,
DRIVE HPE MSL LTO-8 SAS Drive Upgrade Kit,accesorios,6966.334375,,,,,
DRIVE HPE MSL LTO-9 45000 SAS Drive Upgrade Kit,accesorios,8222.8575,,,,,
DRIVE U DISK FRIVER P/MINI PC SIRIUS,electro,30.71948,,,,,
"DRUM BROTHER DR-1060 10,000 PAG",impresion,99.97141,,,,,
"DRUM BROTHER DR-2340 12,000 PAG",impresion,132.71401,,,,,
"DRUM BROTHER DR-3460 50,000 PAG",impresion,154.62227,,,,,
"DRUM BROTHER DR-420 12,000 PAG",impresion,180.25733,,,,,
"DRUM BROTHER DR-620 25,000 PAG (I)",impresion,337.47505,,,,,
DRUM SAMSUNG CLP-R300A/XAA CAJA DA�ADA,impresion,8.6515,,,,,
DUPLICADORA CD COMPRO CD MASTER 8X4 SCSI,accesorios,510.85034,,,,,
DVD FRONT LENOVO IO CAGE STD x3550 M5,accesorios,48.62,,,,,
DVD FRONT LENOVO IO CAGE x3650 M5,accesorios,71.410625,,,,,
DVDRW SATA LENOVO Ultra-Slim PARA X3250 M5,accesorios,57.73625,,,,,
ECS BATERIA LI ION ES1 4400  (G320),accesorios,233.68367,,,,,
ENCHUFE SMART GRALF WIFI 10A,electro,45.398925,,,,,
EPSON  T073420AL  S/CAJA VENCIDO,impresion,0.07293,,,,,
EPSON CINTA ERC-32B NEGRA P/ TM-U675/H6000,impresion,0.94501,,,,,
EPSON CINTA S015329 P/FX-890,impresion,6.04274,,,,,
EPSON CINTA S015631 P/LX-350,impresion,3.0613,,,,,
EPSON MAINTENCE BOX P/C3500,impresion,30.569825,,,,,
EPSON Network module P/DS70000/60000/6500/7500,impresion,239.65986,,,,,
EPSON PLUMA INTERACTIVA A P/675Wi+/695Wi+ NARANJA,proyector,16.18496,,,,,
EPSON PLUMA INTERACTIVA B P/675Wi+/695Wi+ AZUL,proyector,16.18496,,,,,
EPSON TONER S050016 C8000-C8200 AMARILLO,impresion,39.23788,,,,,
EPSON TONER S050188 MAGENTA AL- CX11NF(4000 COPIAS,impresion,6.76148,,,,,
EPSON TONER S050192 MAGENTA AL- CX11NF(1500 CPS),impresion,6.76148,,,,,
EPSON TONER S050193 CYAN AL- CX11NF (1500 COPIAS),impresion,20.27113,,,,,
EPSON TONER S051009 EPL8000 +FOTOCOND,impresion,12.5114,,,,,
EPSON TONER S051011 1000/1500 +FOTOCONDU,impresion,7.66656,,,,,
EPSON TONER S051016 1600/1200 +FOTOCONDU,impresion,7.82628,,,,,
EPSON TONER S051070 EPLN2050 +FOTOCOND,impresion,7.50684,,,,,
EPSON-T041020 COLOR C62/CX3200,impresion,1.519375,,,,,
EPSON-T054720 ROJO R800/1800 VENCIDO!!,impresion,1.519375,,,,,
EPSON-T054920 AZUL R800/1800  S/CAJA- VENCIDO,impresion,1.4586,,,,,
EPSON-T054920 AZUL R800/1800 VENCIDO!!,impresion,1.4586,,,,,
EPSON-T090120-AL  NEGRO -ALTERNATIVO,impresion,2.929355,,,,,
EPSON-T677320-AL MAGENTA WFP4022/WFP4532,impresion,1.519375,,,,,
ESCRITORIO 1016 ESTUDIANTIL C/ALZADA CED,electro,96.77701,,,,,
ESTABILIZADOR TRV MICROVOLT H 2000,electro,33.20746,,,,,
ESTABILIZADOR TRV MICROVOLT L 1200,electro,29.53665,,,,,
ESTABILIZADOR TRV POWERSAFE 2I RJ-45/11 PORT,electro,39.102635,,,,,
ESTABILIZADOR TRV POWERSAFE GAMER RJ-45/11 PORT,electro,55.84007,,,,,
ESTABILIZADOR TRV POWERSAFE USB RJ-45/11 PORT,electro,44.061875,,,,,
ESTACION DE BASE AIRLIVE RADIO DUAL 11G IP65,redes,30.715685,,,,,
ESTANTE GABITEL VENT 19` 1U 650MM (N),electro,203.2437,,,,,
ESTANTE GABITEL VENT 19` 1U 800MM (N),electro,324.13843,,,,,
Estante Gabitel Vent reforzado 1U 650mm (N),electro,244.14533,,,,,
ESTANTE P/RACK GLC 1U-600 C/FIJACION EN 4 PUNTAS,cables,42.01967,,,,,
ESTANTE P/RACK GLC 1U-800 C/FIJACION EN 4 PUNTAS,cables,49.27362,,,,,
ESTERILIZADOR XIAOMI DE CELULARES UV,accesorios,42.84489,,,,,
ESTUCHE P/ CAMARA SLIM DCELL TECH (NARANJA),accesorios,0.11979,,,,,
ESTUCHE P/GPS DEPORTIVO CORDURA,accesorios,5.67006,,,,,
ESTUCHE P/GPS SMALL SIMIL CUERO VERT,accesorios,5.44379,,,,,
ESTUCHE P/GPS/CAM DCELL SLEEVE NEOT2 3.5 NEG/ROJO,accesorios,5.57689,,,,,
ESTUCHE P/GPS/CAM DCELL SUMMER T2 3.5 NEGRO,accesorios,0.15972,,,,,
ETIQUETAS 110 X 73 (T8-81150-00) 1 BANDA,impresion,16.59757,,,,,
ETIQUETAS ADHESIVAS A4  X500 HOJAS,impresion,152.31964,,,,,
ETIQUETAS OPP BLANCO DE 100 X 150 MM,impresion,4.20596,,,,,
"ETIQUETAS X 12000 DE 8,8 X 2,26 (1 CAJA)",impresion,15.01368,,,,,
ETIQUETAS X8000 DE 3.5 X 10.8 (1 CAJA),impresion,52.68098,,,,,
EXPRIMIDOR DE JUGO OSTER JU4176,electro,58.05822,,,,,
EXPRIMIDOR ELECTRICO PEABODY PE-EC402 ACERO .INOX,electro,54.21163,,,,,
EXPRIMIDOR ELECTRICO PEABODY PE-EC402 ACERO ROJO,electro,54.21163,,,,,
EXTENSOR DE RANGO TP-LINK POWERLINE  WPA4220KIT,redes,65.406055,,,,,
EXTENSOR HDMI IP LENKENG 120M . TRANSMISOR,accesorios,51.233325,,,,,
FACE PLATE FURUKAWA  4 POSICIONES BLANCO GLOSSY,cables,2.90158,,,,,
FACE PLATE GLC 1 PUERTOS CAT 5E/6 RJ45,cables,1.87671,,,,,
FACE PLATE GLC 2 PUERTOS CAT 5E/6 RJ45,cables,2.31594,,,,,
FACE PLATE GLC 4 PUERTOS CAT 5E/6 RJ45,cables,1.87671,,,,,
FAJA NOTEBOOK,accesorios,1.331,,,,,
FAN COOLER GAMEMAX 120X120 ARGB 5 1/4,coolers,17.90195,,,,,
FAN COOLER PERFORMANCE 120MM BLUE (OEM),coolers,9.72961,,,,,
FAN COOLER PERFORMANCE 120MM RED (OEM),coolers,11.68618,,,,,
FAN COOLER PERFORMANCE 120X120 RGB 5 1/4,coolers,11.68618,,,,,
FAN COOLER PERFORMANCE 120X120 RGB 5 1/4,coolers,11.68618,,,,,
FAN GAMEMAX P/ GAB 120MM ARGB GMX-12-DBB (OEM),coolers,23.86483,,,,,
FAN GAMEMAX P/ GABINETE 120MM BLUE 15 LEDS (OEM),coolers,17.02349,,,,,
FAN GAMEMAX P/ GABINETE 120MM LEDS AZUL (OEM),coolers,10.54152,,,,,
FAN GAMEMAX P/ GABINETE 120MM NEGRO,coolers,6.36218,,,,,
FAN GRALF 4` 120Z120Z38 RULEMAN 220V,electro,27.69811,,,,,
